City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tepalcingo,MX,2020-01-14 04:47:34,18.6,-98.85,69.01,57,0,2.86
70,Rocha,UY,2020-01-14 04:43:26,-34.48,-54.33,61.21,83,0,12.73
71,Nanga Eboko,CM,2020-01-14 04:47:35,4.68,12.37,65.16,76,9,0.54
72,Kurayoshi,JP,2020-01-14 04:47:35,35.43,133.82,50.0,53,75,4.7
73,Nemuro,JP,2020-01-14 04:37:44,43.32,145.57,30.2,46,20,6.93
74,Vanimo,PG,2020-01-14 04:46:23,-2.67,141.3,80.6,83,100,25.52
75,Port Alfred,ZA,2020-01-14 04:47:36,-33.59,26.89,71.01,95,79,3.0
76,Jasper,US,2020-01-14 04:43:21,37.2,-94.35,48.99,81,75,9.17
77,Grindavik,IS,2020-01-14 04:47:36,63.84,-22.43,35.6,74,90,29.97
78,Provideniya,RU,2020-01-14 04:47:36,64.38,-173.3,24.8,68,40,13.42
79,Podyuga,RU,2020-01-14 04:47:36,61.09,40.86,30.63,87,100,11.99
80,Paamiut,GL,2020-01-14 04:47:37,61.99,-49.67,14.32,61,31,23.44
81,Hobart,AU,2020-01-14 04:44:28,-42.88,147.33,80.01,44,20,11.41
82,Poso,ID,2020-01-14 04:47:37,-1.4,120.75,74.26,90,63,2.98
83,Taozhuang,CN,2020-01-14 04:47:37,34.85,117.33,36.05,25,0,6.93
84,Prince Rupert,CA,2020-01-14 04:46:43,54.32,-130.32,12.2,51,1,6.93
85,Upernavik,GL,2020-01-14 04:45:48,72.79,-56.15,-1.82,82,100,6.13
86,Mataura,NZ,2020-01-14 04:47:38,-46.19,168.86,66.83,63,82,5.37
87,Bardiyah,LY,2020-01-14 04:47:38,31.76,25.09,57.16,67,100,14.94
88,Nara,JP,2020-01-14 04:38:31,34.69,135.8,51.01,39,75,2.24
89,Maragogi,BR,2020-01-14 04:47:38,-9.01,-35.22,80.46,71,28,8.55
90,Chokurdakh,RU,2020-01-14 04:37:58,70.63,147.92,-18.11,97,100,3.09
91,Atuona,PF,2020-01-14 04:47:39,-9.8,-139.03,81.82,78,0,19.3
92,Kande,TG,2020-01-14 04:47:39,9.96,1.04,68.61,21,0,2.3
93,Saint-Philippe,RE,2020-01-14 04:47:40,-21.36,55.77,87.8,66,20,3.36
94,Mar Del Plata,AR,2020-01-14 04:47:00,-38.0,-57.56,66.99,88,90,9.17
95,Lompoc,US,2020-01-14 04:37:43,34.64,-120.46,51.8,81,1,9.17
96,Te Anau,NZ,2020-01-14 04:37:44,-45.42,167.72,60.8,62,44,7.85
97,Escarcega,MX,2020-01-14 04:46:04,18.61,-90.75,69.44,93,0,2.84
98,Havelock,US,2020-01-14 04:47:41,34.88,-76.9,64.99,93,40,5.82
99,East London,ZA,2020-01-14 04:45:29,-33.02,27.91,73.4,94,90,5.82
100,Mecca,SA,2020-01-14 04:43:17,21.43,39.83,69.94,13,5,6.11
101,Beringovskiy,RU,2020-01-14 04:46:48,63.05,179.32,25.25,86,45,12.53
102,Kavieng,PG,2020-01-14 04:37:43,-2.57,150.8,83.62,78,100,26.08
103,Dalianwan,CN,2020-01-14 04:47:42,39.03,121.69,23.0,49,0,11.18
104,Nanortalik,GL,2020-01-14 04:45:45,60.14,-45.24,20.44,64,46,13.82
105,Bengkulu,ID,2020-01-14 04:47:42,-3.8,102.27,86.29,60,100,6.51
106,Souillac,MU,2020-01-14 04:45:30,-20.52,57.52,84.0,83,40,10.29
107,Hithadhoo,MV,2020-01-14 04:43:59,-0.6,73.08,82.49,75,99,11.16
108,Rezh,RU,2020-01-14 04:47:43,57.37,61.4,24.67,91,53,9.48
109,Djibo,BF,2020-01-14 04:47:43,14.1,-1.63,57.52,17,44,11.65
110,Maumere,ID,2020-01-14 04:47:43,-8.62,122.21,83.7,69,84,5.17
111,Komsomolskiy,UZ,2020-01-14 04:47:43,40.43,71.72,32.0,80,75,2.24
112,Albany,US,2020-01-14 04:47:44,42.6,-73.97,37.4,91,90,8.05
113,Kommunisticheskiy,RU,2020-01-14 04:47:44,61.68,64.48,12.74,95,47,2.89
114,Cape Town,ZA,2020-01-14 04:45:12,-33.93,18.42,70.0,94,20,5.82
